District Number,District Name,School Number,School Name,Grade,Group,2014 Total Tested,2014 n Unsatisfactory,2014 % Unsatisfactory,2014 n Partially Proficient,2014 % Partially Proficient,2014 n Proficient,2014 % Proficient,2014 n Advanced,2014 % Advanced,2014 % Proficient and Advanced,2014 n No Score,2014 % No Score
0010,MAPLETON 1,0000,DISTRICT RESULTS,3,F,261,30,11.5,64,24.5,104,39.8,63,24.1,64.0,0,0.0
0010,MAPLETON 1,0000,DISTRICT RESULTS,3,M,279,37,13.3,80,28.7,96,34.4,65,23.3,57.7,1,0.4
0010,MAPLETON 1,0000,DISTRICT RESULTS,4,F,274,43,15.7,100,36.5,107,39.1,23,8.4,47.4,1,0.4
0010,MAPLETON 1,0000,DISTRICT RESULTS,4,M,264,37,14.0,78,29.5,116,43.9,31,11.7,55.7,2,0.8
0010,MAPLETON 1,0000,DISTRICT RESULTS,5,F,312,38,12.2,102,32.7,114,36.5,56,17.9,54.5,2,0.6
0010,MAPLETON 1,0000,DISTRICT RESULTS,5,M,266,48,18.0,97,36.5,86,32.3,33,12.4,44.7,2,0.8
0010,MAPLETON 1,0000,DISTRICT RESULTS,6,F,344,68,19.8,114,33.1,120,34.9,37,10.8,45.6,5,1.5
0010,MAPLETON 1,0000,DISTRICT RESULTS,6,M,345,85,24.6,108,31.3,111,32.2,40,11.6,43.8,1,0.3
0010,MAPLETON 1,0000,DISTRICT RESULTS,7,F,326,89,27.3,137,42.0,71,21.8,24,7.4,29.1,5,1.5
0010,MAPLETON 1,0000,DISTRICT RESULTS,7,M,366,115,31.4,146,39.9,72,19.7,32,8.7,28.4,1,0.3
0010,MAPLETON 1,0000,DISTRICT RESULTS,8,F,357,135,37.8,125,35.0,68,19.0,26,7.3,26.3,3,0.8
0010,MAPLETON 1,0000,DISTRICT RESULTS,8,M,311,122,39.2,107,34.4,49,15.8,30,9.6,25.4,3,1.0
0010,MAPLETON 1,0000,DISTRICT RESULTS,9,F,385,195,50.6,127,33.0,49,12.7,7,1.8,14.5,7,1.8
0010,MAPLETON 1,0000,DISTRICT RESULTS,9,M,368,193,52.4,99,26.9,52,14.1,14,3.8,17.9,10,2.7
0010,MAPLETON 1,0000,DISTRICT RESULTS,10,F,324,161,49.7,109,33.6,44,13.6,2,0.6,14.2,8,2.5
0010,MAPLETON 1,0000,DISTRICT RESULTS,10,M,292,116,39.7,116,39.7,49,16.8,4,1.4,18.2,7,2.4
0010,MAPLETON 1,0187,MAPLETON ARTS,7,F,49,15,30.6,19,38.8,12,24.5,3,6.1,30.6,0,0.0
0010,MAPLETON 1,0187,MAPLETON ARTS,7,M,55,18,32.7,25,45.5,8,14.5,4,7.3,21.8,0,0.0
0010,MAPLETON 1,0187,MAPLETON ARTS,8,F,61,31,50.8,18,29.5,7,11.5,5,8.2,19.7,0,0.0
0010,MAPLETON 1,0187,MAPLETON ARTS,8,M,44,25,56.8,16,36.4,1,2.3,1,2.3,4.5,1,2.3
0010,MAPLETON 1,0187,MAPLETON ARTS,9,F,56,30,53.6,16,28.6,4,7.1,3,5.4,12.5,3,5.4
0010,MAPLETON 1,0187,MAPLETON ARTS,9,M,68,43,63.2,9,13.2,9,13.2,3,4.4,17.6,4,5.9
0010,MAPLETON 1,0187,MAPLETON ARTS,10,F,58,39,67.2,17,29.3,1,1.7,0,0.0,1.7,1,1.7
0010,MAPLETON 1,0187,MAPLETON ARTS,10,M,46,21,45.7,22,47.8,2,4.3,0,0.0,4.3,1,2.2
0010,MAPLETON 1,0212,MAPLETON ECHS,9,F,32,14,43.8,14,43.8,2,6.3,1,3.1,9.4,1,3.1
0010,MAPLETON 1,0212,MAPLETON ECHS,9,M,33,16,48.5,9,27.3,7,21.2,1,3.0,24.2,0,0.0
0010,MAPLETON 1,0212,MAPLETON ECHS,10,F,36,20,55.6,10,27.8,5,13.9,0,0.0,13.9,1,2.8
0010,MAPLETON 1,0212,MAPLETON ECHS,10,M,25,13,52.0,6,24.0,6,24.0,0,0.0,24.0,0,0.0
